text,audio_path,start_time,end_time,duration
هيا,dataset\audio\segment_0000.wav,20.75,21.75,1.0
ارفع يديك فوق رأسك يا قاضي,dataset\audio\segment_0001.wav,23.5,25.75,2.25
"اجمعوا كل الذين قبضتم عليهم و أحضروهم
وسط البلدة لأريهم كيف سارد لهم جميلهم",dataset\audio\segment_0002.wav,26.75,32.75,6.0
"غدا إن شاء الله سنستيقظ
في
الفجر",dataset\audio\segment_0003.wav,38.0,40.5,2.5
سنقتادكم جميعا إلى مكان لتشهدوا على ما لا تتوقعون,dataset\audio\segment_0004.wav,40.5,45.5,5.0
و ما لم يكن يوما في حسبانكم بأنه سيصيبكم,dataset\audio\segment_0005.wav,45.75,49.75,4.0
كيف لي أن أنقذكم؟,dataset\audio\segment_0006.wav,66.75,68.25,1.5
عز علي أمركم لكن لا حيلة لي,dataset\audio\segment_0007.wav,68.75,72.25,3.5
هذا ما كنت أقوله دائما لن ننعم بالهناء يوما,dataset\audio\segment_0008.wav,73.0,76.5,3.5
"سيدتي تيهيا، أنت,
طوق النجاة",dataset\audio\segment_0009.wav,92.75,96.0,3.25
أنجز الداغور مهمته وأنجزت مهمتي,dataset\audio\segment_0010.wav,96.0,98.5,2.5
من أخبرك بأن البلدة محتجزة؟,dataset\audio\segment_0011.wav,98.5,100.5,2.0
قال الأولون,dataset\audio\segment_0012.wav,101.25,102.5,1.25
حيت يوجد عدوك يوجد صديقك أيضا,dataset\audio\segment_0013.wav,102.75,105.75,3.0
انظر إلى الجيش الذي أعددت لهم,dataset\audio\segment_0014.wav,108.0,109.75,1.75
"ما شاء الله يا له من جمع .
غفير",dataset\audio\segment_0015.wav,117.25,121.5,4.25
"اريني :
عجرفتك يا الداغور",dataset\audio\segment_0016.wav,121.75,124.25,2.5
ساقتل كل أفراد جماعة الداغور ولن يبقى منهم ولو أحد,dataset\audio\segment_0017.wav,127.25,131.0,3.75
شكراً جزيلا لك ،لا تأخذكي بهم رأفة,dataset\audio\segment_0018.wav,131.0,133.75,2.75
لكن يجب أن تغادروا بلدة إيجاوان,dataset\audio\segment_0019.wav,134.0,136.25,2.25
لأنه محاذي للغابة عند اللصوص,dataset\audio\segment_0020.wav,136.5,138.5,2.0
لن نستطيع حمايتكم دائما؟,dataset\audio\segment_0021.wav,139.25,141.0,1.75
إلى أين سنذهب؟,dataset\audio\segment_0022.wav,141.0,142.0,1.0
لا تقلق سأبعثكم إلى بلدة تنعم بالأمن,dataset\audio\segment_0023.wav,142.0,145.5,3.5
"حاضر خلصي أولا أهل البلدة الذين وقعوا
في أيدي الداغور ثم نناقش الأمر بعد ذلك",dataset\audio\segment_0024.wav,145.75,151.25,5.5
اذهبوا وطوقوا جماعة الداغور وقطعوا رؤوسهم جميعا,dataset\audio\segment_0025.wav,152.25,155.75,3.5
الداغور,dataset\audio\segment_0026.wav,196.75,198.75,2.0
ماذا هناك؟,dataset\audio\segment_0027.wav,199.0,199.75,0.75
جيش تيهيا يتجه نحونا,dataset\audio\segment_0028.wav,199.75,201.25,1.5
يا للهول إن عددهم كبير,dataset\audio\segment_0029.wav,217.25,218.25,1.0
عددهم أكبر منا بكثير,dataset\audio\segment_0030.wav,218.5,219.75,1.25
اسمعوا اهربوا وتخلوا عن هؤلاء,dataset\audio\segment_0031.wav,220.25,222.75,2.5
ا القاضي لا تفارقوه خذوه,dataset\audio\segment_0032.wav,223.0,225.75,2.75
اهربوا هيا,dataset\audio\segment_0033.wav,225.75,226.5,0.75
تحرك بسرعة,dataset\audio\segment_0034.wav,226.75,229.25,2.5
"عندما كنت أنادي فيكم وأطلب
منكم مغادرة البلدة ونهرب",dataset\audio\segment_0035.wav,236.0,239.75,3.75
"قلتم لي اصمت ها قد صمت بابا على
ما رأيكم الآن بعد أن صمت بابا علي؟",dataset\audio\segment_0036.wav,240.0,245.75,5.75
ما وقع لنا هذه المرة يتجاوز بكثير كل ما أصابنا,dataset\audio\segment_0037.wav,247.5,251.25,3.75
أتساءل أين ذهب سيدي عبو,dataset\audio\segment_0038.wav,252.5,255.0,2.5
لم يعد للسيد عبو هذا ما يفعل هنا فقد بعث لنا شياطينه,dataset\audio\segment_0039.wav,255.0,258.75,3.75
"استعذ بالله يا بابا علي، لا يستطيع سيدي
عبو فعل ذلك فقد قضى معنا سنوات طويلة",dataset\audio\segment_0040.wav,259.0,264.0,5.0
شكرا لك يا هذه، بعد أن تسترتم لسنوات على هذا المجرم,dataset\audio\segment_0041.wav,264.25,268.75,4.5
اسمعي يا هذه يقول الأولون لا ينفع دائما كل ما تخبئ,dataset\audio\segment_0042.wav,269.0,274.0,5.0
فالشمعة لا يحرقها سوى الخيط الكامن في قلبها,dataset\audio\segment_0043.wav,274.5,278.25,3.75
عابد أين الآخرين,dataset\audio\segment_0044.wav,279.75,281.25,1.5
إنهم قادمون يحملون أغراضهم,dataset\audio\segment_0045.wav,281.25,283.25,2.0
يا إلهي يا أبي سنتسكع هنا حتى يعود الداغور,dataset\audio\segment_0046.wav,283.5,287.0,3.5
"يا له من ولد كثير الكلام
الآن فقط تشحذون عزيمتكم ما شاء الله",dataset\audio\segment_0047.wav,289.5,294.0,4.5
"وثلينون فقط تحت الضغط كمثل
حبات الزيتون لن ننعم أبدا بالأمان.",dataset\audio\segment_0048.wav,294.25,298.25,4.0
هل شعر أحدكم باهتزاز الأرض عندما كنا في الغابة؟,dataset\audio\segment_0049.wav,298.5,303.25,4.75
نعم، أنا شخصيا شعرت بالزلزال حينها,dataset\audio\segment_0050.wav,303.5,306.25,2.75
لطفك يا رب، حتى الأرض بدأت ترتعد,dataset\audio\segment_0051.wav,307.25,311.25,4.0
و انا أيضا شعرت باهتزاز الأرض,dataset\audio\segment_0052.wav,311.5,314.0,2.5
لكني اعتقدت بأن الداغور وحده من تهتز الأرض تحت أقدامه,dataset\audio\segment_0053.wav,314.25,317.5,3.25
لو كنت تعلم كمية النار التي تختبئ تحت التراب,dataset\audio\segment_0054.wav,317.75,322.0,4.25
مثل عابد,dataset\audio\segment_0055.wav,322.0,323.25,1.25
هيا بنا نبتعد من فضلكم من هنا,dataset\audio\segment_0056.wav,323.25,325.5,2.25
لا تخشي شيئا، فهناك جنديين يحرساننا,dataset\audio\segment_0057.wav,325.5,329.0,3.5
هل سيرافقائنا يا بابا على إلى وجهتنا؟,dataset\audio\segment_0058.wav,329.25,332.0,2.75
حري بك أن تصمت يا عابد وتكف عن إزعاجنا,dataset\audio\segment_0059.wav,332.0,335.5,3.5
ساصمت لكني سررت كثيرا,dataset\audio\segment_0060.wav,335.5,339.25,3.75
بعد أن سلبك هؤلاء بغلتك الجميلة وتركوا لك هذا الحمار,dataset\audio\segment_0061.wav,339.25,342.25,3.0
أعلم أن الأمر أسرك,dataset\audio\segment_0062.wav,342.25,344.25,2.0
بعد أن سلبوني البغلة وتركوا لي ذي العقل قرينك,dataset\audio\segment_0063.wav,344.25,347.5,3.25
سيدي القاضي أتعلم ما يثير إعجابي فيك؟,dataset\audio\segment_0064.wav,372.75,377.0,4.25
هربت كثيرا وفي الأخير وقعت في الفخ,dataset\audio\segment_0065.wav,377.25,380.0,2.75
أنت أيضا معهم؟,dataset\audio\segment_0066.wav,383.75,385.0,1.25
تأكدت منذ أول لقائي بك,dataset\audio\segment_0067.wav,388.0,390.75,2.75
أنك لست فقيها لم أصدقك,dataset\audio\segment_0068.wav,394.25,397.0,2.75
فكر الآن في مصيرك فقط,dataset\audio\segment_0069.wav,397.75,401.5,3.75
أما نحن فندرك ما نفعل,dataset\audio\segment_0070.wav,401.75,403.75,2.0
لا بأس,dataset\audio\segment_0071.wav,407.25,408.5,1.25
سياتي عليكم يوما تقعون فيه,dataset\audio\segment_0072.wav,411.0,412.75,1.75
مهما طال هروبكم,dataset\audio\segment_0073.wav,414.5,416.0,1.5
ستدفعون الثمن يوما,dataset\audio\segment_0074.wav,419.25,420.75,1.5
لا شيء يخيفنا,dataset\audio\segment_0075.wav,420.75,422.25,1.5
لا تعتقد أن تخليص تيهيا لأهل البلدة سيخدم مصال,dataset\audio\segment_0076.wav,422.5,427.0,4.5
"سيقبضون عليها أيضا وسيقتادونها
كي تعلق بجانبك يا سيدي القاضي",dataset\audio\segment_0077.wav,427.75,432.25,4.5
"أدعو الله أن لا تقع تيهيا وتلقى نفس مصيري
هذا",dataset\audio\segment_0078.wav,442.25,446.0,3.75
يفعل الله خيرا,dataset\audio\segment_0079.wav,448.75,449.75,1.0
هاهم هاهم قد وصلوا,dataset\audio\segment_0080.wav,454.0,455.25,1.25
أسرعوا قليلا بدل تباطئكم هذا كما لو كنتم ستصيدون العصافير,dataset\audio\segment_0081.wav,456.5,460.0,3.5
"بابا علي لـ
ي. لقد كتفت خليج التاجر بلقاسم",dataset\audio\segment_0082.wav,460.75,464.0,3.25
ما الذي اقترف في حقها؟,dataset\audio\segment_0083.wav,464.75,465.75,1.0
اللهم لطفك فقد أصبح كل هؤلاء مثل الداغور يكتفون,dataset\audio\segment_0084.wav,465.75,470.0,4.25
لم يحسن صنعا، كان عليه أن يلم أغراضه ويرافقنا,dataset\audio\segment_0085.wav,470.25,474.0,3.75
منعته من الخروج فكتفته,dataset\audio\segment_0086.wav,474.25,476.5,2.25
أخبرتكم خليج بأنها لن تغادر بلدتها,dataset\audio\segment_0087.wav,476.5,479.25,2.75
أولئك الملاعين يرفضون مغادرة البلدة,dataset\audio\segment_0088.wav,479.5,481.75,2.25
لماذا يصرون على ذلك وما يشدهم هناك؟ والأمن منعدم فيها,dataset\audio\segment_0089.wav,482.0,484.5,2.5
وددت لو رافقتنا تيعزا فهي لا تستحق هذه المشاكل,dataset\audio\segment_0090.wav,484.75,488.75,4.0
بابا علي,dataset\audio\segment_0091.wav,489.0,489.75,0.75
تحرك وإلا ستنال ضربا مبرحا ولن يخلصك أحد,dataset\audio\segment_0092.wav,490.25,493.5,3.25
هل سمعتها من جديد يا عائشة؟ سمعتها؟,dataset\audio\segment_0093.wav,494.75,496.5,1.75
كلامها على حق يا بابا على,dataset\audio\segment_0094.wav,496.75,497.75,1.0
إن لم تواصل السير سنظل نضربك حتى نصل وجهتنا,dataset\audio\segment_0095.wav,498.0,501.25,3.25
كفتا عن هذا الكلام واستعيذتا بالله,dataset\audio\segment_0096.wav,501.25,503.75,2.5
القد عز علي أمرها لا غير,dataset\audio\segment_0097.wav,504.25,505.75,1.5
عز عليك أمرها؟,dataset\audio\segment_0098.wav,506.0,506.75,0.75
"لماذا لم يعز عليك أمر خليج أو القائد عدي
أو شقرا؟ أو يعز عليك على الأقل أخوك",dataset\audio\segment_0099.wav,507.0,512.0,5.0
بابا علي لقد صدقت عائشة,dataset\audio\segment_0100.wav,512.5,514.5,2.0
وماذا عن سيدي باروخ وهو الرجل الصالح,dataset\audio\segment_0101.wav,515.0,517.0,2.0
لماذا لم يعز عليك أمره؟ الحقيقة أنك رجل ماكر لا يؤتمن,dataset\audio\segment_0102.wav,517.25,521.0,3.75
"وددت يا موشي أن تلهب النار
كلما سنحت الفرصة، أليس كذلك؟",dataset\audio\segment_0103.wav,521.0,525.75,4.75
لأني أعرفك جيدا,dataset\audio\segment_0104.wav,525.75,527.0,1.25
واصلوا السير فإن وجدكم الداغور وجماعته هنا سيقضون عليكم,dataset\audio\segment_0105.wav,527.0,531.0,4.0
إن متتم كذلك فستحاسبون عند الله لأنكم قتلتم أنفسكم,dataset\audio\segment_0106.wav,531.0,535.0,4.0
قال الله تعالى: ولا تلقوا بأيدكم إلى التهلكة,dataset\audio\segment_0107.wav,535.25,539.0,3.75
أستودعك الله يا تيعزا,dataset\audio\segment_0108.wav,540.75,542.25,1.5
يا لحظي العاثر هذا,dataset\audio\segment_0109.wav,542.5,544.75,2.25
"حظ البعض يفلق الحجر
الحجر
بما يحمل حظي الحجر ويرميني به",dataset\audio\segment_0110.wav,545.0,549.5,4.5
تارة ف الرأس وتارة أخرى في الظهر,dataset\audio\segment_0111.wav,549.75,552.75,3.0
تيعزا,dataset\audio\segment_0112.wav,593.5,594.5,1.0
تصرف أمك هذا لا يليق,dataset\audio\segment_0113.wav,595.5,598.25,2.75
اطلبي منها أن تطلق سراحي، أرجوك,dataset\audio\segment_0114.wav,598.75,601.5,2.75
هي زوجتك يا بلقاسم ولا شأن لي بأموركما,dataset\audio\segment_0115.wav,602.0,605.75,3.75
لن أتدخل في مشاكلكما,dataset\audio\segment_0116.wav,606.25,608.5,2.25
حد الله بيني وبينها رغم أنها أمك,dataset\audio\segment_0117.wav,608.5,611.25,2.75
الزوجة التي تجرؤ على تكثيف زوجها ليست امرأة,dataset\audio\segment_0118.wav,611.75,615.5,3.75
"نفس الشيء ينطبق عليك يا بلقاسم
فلا شهامة لزوج ينوي هجر زوجته",dataset\audio\segment_0119.wav,615.75,621.0,5.25
انصحيها أن ترافقني,dataset\audio\segment_0120.wav,621.25,622.5,1.25
فبلدتكم ليست آمنة,dataset\audio\segment_0121.wav,623.25,625.75,2.5
فقد يعود إليها الداغوة فيجهز عليها، وها قد حذرتك,dataset\audio\segment_0122.wav,625.75,629.75,4.0
"- اسمع يا بلقاسم
. حاضر يا تيعزا",dataset\audio\segment_0123.wav,630.0,632.0,2.0
"الزواج صرح يجب الحفاظ عليه
ويتطلب التضحية ونكران الذات.",dataset\audio\segment_0124.wav,632.25,636.5,4.25
تضحية ؟,dataset\audio\segment_0125.wav,637.0,638.0,1.0
هل سترافقني إلى الآخرة أيضا؟,dataset\audio\segment_0126.wav,639.75,642.25,2.5
هذا مشكل آخر يا بلقاسم أفظع من مشكل الداغور,dataset\audio\segment_0127.wav,643.25,648.5,5.25
لم تحسن التصرف يا الداغور,dataset\audio\segment_0128.wav,650.0,651.25,1.25
كان عليك أن تكثف الحراسة حولك,dataset\audio\segment_0129.wav,652.0,654.5,2.5
فلو كنت اعتقلت تيهيا وجيشها,dataset\audio\segment_0130.wav,656.75,659.0,2.25
قضيت عليهم جميعا ولم ينجو منك أحداً,dataset\audio\segment_0131.wav,659.25,661.75,2.5
المصيدة التي وقعت فيها مصيدة موت,dataset\audio\segment_0132.wav,663.25,666.25,3.0
"علينا لصالحهم
لكني أشك أن بيننا غدار يتجسس .",dataset\audio\segment_0133.wav,666.75,672.5,5.75
"إن كان من بين جماعتك أنت
من
أما الذين معي فثقتي فيهم عمياء",dataset\audio\segment_0134.wav,673.0,678.0,5.0
أنا أيضا أثق في أصدقائي,dataset\audio\segment_0135.wav,678.75,681.75,3.0
في الحقيقة كنت أتمنى إحضار جميع أهل تلك البلدة إلى هنا,dataset\audio\segment_0136.wav,683.0,688.0,5.0
لكننا لم ننجز المهمة كما ينبغي أخطانًا في حساباتنا وينقصها القليل,dataset\audio\segment_0137.wav,689.0,691.5,2.5
لكنك خيرا فعلت بأن أحضرت معك القاضي .,dataset\audio\segment_0138.wav,694.5,698.5,4.0
وهذه خطوة جيدة في اتجاه تيهيا,dataset\audio\segment_0139.wav,698.75,701.25,2.5
بقيت تيهيا الآن وحيدة ستتولى تافوكت أمرها,dataset\audio\segment_0140.wav,701.75,705.5,3.75
قريبا ستصبح هذه البلدات كلها تحت سيطرتنا,dataset\audio\segment_0141.wav,706.75,711.25,4.5
سيدي أضاشي، بيدادان هنا ويريد لقاءك,dataset\audio\segment_0142.wav,717.5,720.0,2.5
. أحضره إلى هنا,dataset\audio\segment_0143.wav,721.25,721.75,0.5
أهلا بكم,dataset\audio\segment_0144.wav,730.75,731.5,0.75
- اخبرنی یا بیدادان,dataset\audio\segment_0145.wav,732.25,733.5,1.25
على ماذا انتهى أمر أهل بيجاوان؟,dataset\audio\segment_0146.wav,733.75,735.25,1.5
تعقبتهم إلى أن عادوا إلى قبيلتهم,dataset\audio\segment_0147.wav,735.5,738.0,2.5
يعني أنهم لازالوا غير بعيدين,dataset\audio\segment_0148.wav,738.25,741.5,3.25
